"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-2559582","R-HSA-2559582","Senescence-Associated Secretory Phenotype (SASP)","26/324","110/11146",0.236363636363636,8.13120089786756,13.0050475613084,5.41262957773417e-17,5.86729046226384e-14,3.6521005887659e-14,"H2BC21/UBB/ANAPC15/UBC/CEBPB/H4C16/H2AC8/H3-3A/JUN/CDKN1B/H2BC5/H3-3B/CDKN2B/H4C4/UBE2E1/CDK4/H2BC4/H4C2/H2AJ/H4C5/H2BC11/RPS27A/H2AC4/H2BC10/H2BC9/H2BC13",26
"R-HSA-8939211","R-HSA-8939211","ESR-mediated signaling","31/324","222/11146",0.13963963963964,4.80377599822044,9.90511111779882,2.81842508943561e-13,1.5275863984741e-10,9.50847622278015e-11,"H2BC21/JUND/MYC/H4C16/HSPB1/PTGES3/H2AC8/H3-3A/JUN/GNG11/GNGT1/CDKN1B/CALM2/H2BC5/H3-3B/CAV2/H4C4/GTF2F2/DDX5/FOXA1/H2BC4/H4C2/H2AJ/H4C5/H2BC11/H2AC4/H2BC10/H2BC9/GNG5/EBAG9/H2BC13",31
"R-HSA-69002","R-HSA-69002","DNA Replication Pre-Initiation","26/324","158/11146",0.164556962025316,5.66096265041413,10.2094798809263,5.30296805546145e-13,1.80513660878424e-10,1.12360901750893e-10,"H2BC21/GMNN/UBB/ANAPC15/UBC/RPA3/H4C16/H2AC8/H3-3A/H2BC5/H3-3B/H4C4/UBE2E1/H2BC4/H4C2/H2AJ/H4C5/H2BC11/RPS27A/H2AC4/H2BC10/H2BC9/PSMB5/PSMB10/CDC7/H2BC13",26
"R-HSA-9616222","R-HSA-9616222","Transcriptional regulation of granulopoiesis","20/324","89/11146",0.224719101123595,7.73061450964073,11.0303639577636,6.66102069662082e-13,1.80513660878424e-10,1.12360901750893e-10,"H2BC21/MYC/CEBPB/H4C16/KLF5/H2AC8/H3-3A/H2BC5/H3-3B/H4C4/CDK4/H2BC4/H4C2/H2AJ/H4C5/H2BC11/H2AC4/H2BC10/H2BC9/H2BC13",20
"R-HSA-2559580","R-HSA-2559580","Oxidative Stress Induced Senescence","23/324","124/11146",0.185483870967742,6.38087415372362,10.4253885749362,9.07352063431596e-13,1.9671392735197e-10,1.22444773191506e-10,"H2BC21/UBB/UBC/H4C16/H2AC8/CBX8/H3-3A/JUN/H2BC5/H3-3B/CDKN2B/H4C4/CDK4/H2BC4/H4C2/H2AJ/H4C5/H2BC11/RPS27A/H2AC4/H2BC10/H2BC9/H2BC13",23
"R-HSA-2299718","R-HSA-2299718","Condensation of Prophase Chromosomes","18/324","73/11146",0.246575342465753,8.48249619482496,11.097727622105,1.77181885256336e-12,2.85949622611074e-10,1.77989617492424e-10,"H2BC21/H4C16/H2AC8/H3-3A/H2BC5/H3-3B/H4C4/CDK1/H2BC4/H4C2/H2AJ/H4C5/H2BC11/H2AC4/H2BC10/H2BC9/SMC4/H2BC13",18
"R-HSA-68867","R-HSA-68867","Assembly of the pre-replicative complex","24/324","141/11146",0.170212765957447,5.8555292881534,10.0394492271158,2.01530944517876e-12,2.85949622611074e-10,1.77989617492424e-10,"H2BC21/GMNN/UBB/ANAPC15/UBC/H4C16/H2AC8/H3-3A/H2BC5/H3-3B/H4C4/UBE2E1/H2BC4/H4C2/H2AJ/H4C5/H2BC11/RPS27A/H2AC4/H2BC10/H2BC9/PSMB5/PSMB10/H2BC13",24
"R-HSA-2559583","R-HSA-2559583","Cellular Senescence","28/324","195/11146",0.143589743589744,4.93966445077556,9.60303311694665,2.11032931816291e-12,2.85949622611074e-10,1.77989617492424e-10,"H2BC21/UBB/ANAPC15/UBC/CEBPB/H4C16/H2AC8/CBX8/H3-3A/JUN/CDKN1B/H2BC5/H3-3B/CDKN2B/H4C4/UBE2E1/CDK4/H2BC4/H4C2/H2AJ/H4C5/H2BC11/RPS27A/H2AC4/H2BC10/H2BC9/H1-2/H2BC13",28
"R-HSA-912446","R-HSA-912446","Meiotic recombination","19/324","87/11146",0.218390804597701,7.5129132964382,10.5520240076246,4.39270771473851e-12,5.29077240308505e-10,3.29324636859343e-10,"H2BC21/RPA3/H4C16/H2AC8/H3-3A/H2BC5/H3-3B/H4C4/CDK4/H2BC4/H4C2/H2AJ/H4C5/H2BC11/H2AC4/H2BC10/H2BC9/H2BC13/MND1",19
"R-HSA-9018519","R-HSA-9018519","Estrogen-dependent gene expression","24/324","149/11146",0.161073825503356,5.54113845389013,9.65560612640652,6.90636471756007e-12,7.48649935383511e-10,4.65997871995369e-10,"H2BC21/JUND/MYC/H4C16/PTGES3/H2AC8/H3-3A/JUN/H2BC5/H3-3B/H4C4/GTF2F2/DDX5/FOXA1/H2BC4/H4C2/H2AJ/H4C5/H2BC11/H2AC4/H2BC10/H2BC9/EBAG9/H2BC13",24
